"use_type_path";"attribute_name"
"Farming";"Cultivable"
"Livestock";"Cultivable"
"Industrial";"Cultivable"
"Urban";"Cultivable"
"Recreational";"Cultivable"
"Water reservoir";"Cultivable"
"Farming";"Crop destination"
"Farming";"Plant material provenance"
"Farming";"Irrigation system"
"Farming";"Production method"
"Farming";"Cultivation system"
"Farming";"Non-productive surfaces and elements (SENP)"
"Farming";"Soil cover type"
"Farming";"Labor type"
"Farming/Cereals";"kc_a"
"Farming/Cereals";"kc_b"
"Farming/Cereals";"kc_c"
"Farming/Forage and Fodder";"kc_a"
"Farming/Forage and Fodder";"kc_b"
"Farming/Forage and Fodder";"kc_c"
"Farming/Vegetables";"kc_a"
"Farming/Vegetables";"kc_b"
"Farming/Vegetables";"kc_c"
"Farming/Fruit trees (non-citrus)";"kc_a"
"Farming/Fruit trees (non-citrus)";"kc_b"
"Farming/Fruit trees (non-citrus)";"kc_c"
"Farming/Citrus";"kc_a"
"Farming/Citrus";"kc_b"
"Farming/Citrus";"kc_c"
"Farming/Grapevine";"kc_a"
"Farming/Grapevine";"kc_b"
"Farming/Grapevine";"kc_c"
"Farming/Orchards and Nuts";"kc_a"
"Farming/Orchards and Nuts";"kc_b"
"Farming/Orchards and Nuts";"kc_c"
"Farming/Legumes (grain)";"kc_a"
"Farming/Legumes (grain)";"kc_b"
"Farming/Legumes (grain)";"kc_c"
"Farming/Oilseeds and Industrial";"kc_a"
"Farming/Oilseeds and Industrial";"kc_b"
"Farming/Oilseeds and Industrial";"kc_c"
"Farming/Tubers and Roots";"kc_a"
"Farming/Tubers and Roots";"kc_b"
"Farming/Tubers and Roots";"kc_c"
"Farming/Sugar crops";"kc_a"
"Farming/Sugar crops";"kc_b"
"Farming/Sugar crops";"kc_c"
"Farming/Industrial crops";"kc_a"
"Farming/Industrial crops";"kc_b"
"Farming/Industrial crops";"kc_c"
"Farming/Pastures and Grasslands";"kc_a"
"Farming/Pastures and Grasslands";"kc_b"
"Farming/Pastures and Grasslands";"kc_c"
"Farming/Ornamentals and Flowers";"kc_a"
"Farming/Ornamentals and Flowers";"kc_b"
"Farming/Ornamentals and Flowers";"kc_c"
"Farming/Greenhouse";"kc_a"
"Farming/Greenhouse";"kc_b"
"Farming/Greenhouse";"kc_c"
"Farming/Mushrooms";"kc_a"
"Farming/Mushrooms";"kc_b"
"Farming/Mushrooms";"kc_c"
"Farming/Woody others";"kc_a"
"Farming/Woody others";"kc_b"
"Farming/Woody others";"kc_c"
"Farming/Unproductive";"kc_a"
"Farming/Unproductive";"kc_b"
"Farming/Unproductive";"kc_c"
"Farming/Other";"kc_a"
"Farming/Other";"kc_b"
"Farming/Other";"kc_c"
"Farming/Palm/Date";"kc_a"
"Farming/Palm/Date";"kc_b"
"Farming/Palm/Date";"kc_c"
"Farming/Berries";"kc_a"
"Farming/Berries";"kc_b"
"Farming/Berries";"kc_c"
"Farming/Cereals/TRIGO BLANDO";"Latin"
"Farming/Cereals/TRIGO BLANDO";"EPPO"
"Farming/Cereals/TRIGO BLANDO";"C. UPOV"
"Farming/Cereals/TRIGO BLANDO";"Horticultural"
"Farming/Cereals/TRIGO BLANDO";"Energetic"
"Farming/Cereals/TRIGO BLANDO";"Fruit tree"
"Farming/Cereals/TRIGO BLANDO";"Shell fruits"
"Farming/Cereals/TRIGO BLANDO";"Aromatic condiment medicinal"
"Farming/Cereals/TRIGO BLANDO";"Direct sowing"
"Farming/Cereals/TRIGO BLANDO";"Improving species"
"Farming/Cereals/TRIGO BLANDO";"Short-cycle forestry"
"Farming/Cereals/TRIGO BLANDO";"Woody"
"Farming/Cereals/TRIGO BLANDO";"Cropland"
"Farming/Cereals/TRIGO BLANDO";"Permanent crops"
"Farming/Cereals/TRIGO BLANDO";"Permanent pasture"
"Farming/Cereals/TRIGO BLANDO";"Forest"
"Farming/Cereals/TRIGO BLANDO";"Legumes"
"Farming/Cereals/TRIGO BLANDO";"Unharvested zone cereals legumes oilseeds"
"Farming/Cereals/TRIGO BLANDO";"Integrated"
"Farming/Cereals/ESPELTA";"Latin"
"Farming/Cereals/ESPELTA";"EPPO"
"Farming/Cereals/ESPELTA";"C. UPOV"
"Farming/Cereals/ESPELTA";"Horticultural"
"Farming/Cereals/ESPELTA";"Energetic"
"Farming/Cereals/ESPELTA";"Fruit tree"
"Farming/Cereals/ESPELTA";"Shell fruits"
"Farming/Cereals/ESPELTA";"Aromatic condiment medicinal"
"Farming/Cereals/ESPELTA";"Direct sowing"
"Farming/Cereals/ESPELTA";"Improving species"
"Farming/Cereals/ESPELTA";"Short-cycle forestry"
"Farming/Cereals/ESPELTA";"Woody"
"Farming/Cereals/ESPELTA";"Cropland"
"Farming/Cereals/ESPELTA";"Permanent crops"
"Farming/Cereals/ESPELTA";"Permanent pasture"
"Farming/Cereals/ESPELTA";"Forest"
"Farming/Cereals/ESPELTA";"Legumes"
"Farming/Cereals/ESPELTA";"Unharvested zone cereals legumes oilseeds"
"Farming/Cereals/ESPELTA";"Integrated"
"Farming/Cereals/TRIGO DURO";"Latin"
"Farming/Cereals/TRIGO DURO";"EPPO"
"Farming/Cereals/TRIGO DURO";"C. UPOV"
"Farming/Cereals/TRIGO DURO";"Horticultural"
"Farming/Cereals/TRIGO DURO";"Energetic"
"Farming/Cereals/TRIGO DURO";"Fruit tree"
"Farming/Cereals/TRIGO DURO";"Shell fruits"
"Farming/Cereals/TRIGO DURO";"Aromatic condiment medicinal"
"Farming/Cereals/TRIGO DURO";"Direct sowing"
"Farming/Cereals/TRIGO DURO";"Improving species"
"Farming/Cereals/TRIGO DURO";"Short-cycle forestry"
"Farming/Cereals/TRIGO DURO";"Woody"
"Farming/Cereals/TRIGO DURO";"Cropland"
"Farming/Cereals/TRIGO DURO";"Permanent crops"
"Farming/Cereals/TRIGO DURO";"Permanent pasture"
"Farming/Cereals/TRIGO DURO";"Forest"
"Farming/Cereals/TRIGO DURO";"Legumes"
"Farming/Cereals/TRIGO DURO";"Unharvested zone cereals legumes oilseeds"
"Farming/Cereals/TRIGO DURO";"Integrated"
"Farming/Cereals/MAÍZ";"Latin"
"Farming/Cereals/MAÍZ";"EPPO"
"Farming/Cereals/MAÍZ";"C. UPOV"
"Farming/Cereals/MAÍZ";"Horticultural"
"Farming/Cereals/MAÍZ";"Energetic"
"Farming/Cereals/MAÍZ";"Fruit tree"
"Farming/Cereals/MAÍZ";"Shell fruits"
"Farming/Cereals/MAÍZ";"Aromatic condiment medicinal"
"Farming/Cereals/MAÍZ";"Direct sowing"
"Farming/Cereals/MAÍZ";"Improving species"
"Farming/Cereals/MAÍZ";"Short-cycle forestry"
"Farming/Cereals/MAÍZ";"Woody"
"Farming/Cereals/MAÍZ";"Cropland"
"Farming/Cereals/MAÍZ";"Permanent crops"
"Farming/Cereals/MAÍZ";"Permanent pasture"
"Farming/Cereals/MAÍZ";"Forest"
"Farming/Cereals/MAÍZ";"Legumes"
"Farming/Cereals/MAÍZ";"Unharvested zone cereals legumes oilseeds"
"Farming/Cereals/MAÍZ";"Integrated"
"Farming/Cereals/CEBADA";"Latin"
"Farming/Cereals/CEBADA";"EPPO"
"Farming/Cereals/CEBADA";"C. UPOV"
"Farming/Cereals/CEBADA";"Horticultural"
"Farming/Cereals/CEBADA";"Energetic"
