"use_type_path";"attribute_name";"value_name"
"Farming";"Cultivable";"Yes"
"Livestock";"Cultivable";"No"
"Industrial";"Cultivable";"No"
"Urban";"Cultivable";"No"
"Recreational";"Cultivable";"No"
"Water reservoir";"Cultivable";"No"
"Farming";"Crop destination";"Consumo humano en fresco"
"Farming";"Crop destination";"Consumo humano en seco"
"Farming";"Crop destination";"Consumo animal"
"Farming";"Crop destination";"Forrajero"
"Farming";"Crop destination";"Forraje deshidratado"
"Farming";"Crop destination";"Semillas para siembra"
"Farming";"Crop destination";"Semillas certificadas para siembra"
"Farming";"Crop destination";"Plantas, plantones o partes de planta para cultivo y/o reproducción"
"Farming";"Crop destination";"Ensilado"
"Farming";"Crop destination";"Semillas destinadas a la producción de brotes"
"Farming";"Crop destination";"Semillas germinadas excepto brotes (shoots o cress)"
"Farming";"Crop destination";"Leña"
"Farming";"Crop destination";"Corcho"
"Farming";"Crop destination";"Resina"
"Farming";"Crop destination";"Sidra"
"Farming";"Crop destination";"Pimentón"
"Farming";"Crop destination";"Fibra"
"Farming";"Crop destination";"Aceite"
"Farming";"Crop destination";"Medicinal"
"Farming";"Crop destination";"Industria cosmética"
"Farming";"Crop destination";"Energía renovable"
"Farming";"Crop destination";"Vinificación"
"Farming";"Crop destination";"Otro procesamiento industrial"
"Farming";"Crop destination";"Henificado"
"Farming";"Crop destination";"Uso experimental"
"Farming";"Crop destination";"Biomasa"
"Farming";"Crop destination";"Madera"
"Farming";"Crop destination";"Secado de la planta por comercialización"
"Farming";"Crop destination";"Combinado: Industrial u otros más secado"
"Farming";"Plant material provenance";"Banco de germoplasma/recursos fitogenéticos"
"Farming";"Plant material provenance";"Material de la propia explotación"
"Farming";"Plant material provenance";"Material de un obtentor no registrado en ROPVEG"
"Farming";"Irrigation system";"Aspersión"
"Farming";"Irrigation system";"Goteo"
"Farming";"Irrigation system";"Gravedad"
"Farming";"Irrigation system";"Pivot"
"Farming";"Production method";"Convencional"
"Farming";"Production method";"Ecológica"
"Farming";"Production method";"Integrada"
"Farming";"Cultivation system";"Aire libre"
"Farming";"Cultivation system";"Malla"
"Farming";"Cultivation system";"Cubierta no accesible"
"Farming";"Cultivation system";"Invernadero (cubierta accesible)"
"Farming";"Cultivation system";"Forestales en rotacion corta"
"Farming";"Cultivation system";"Micorrizado"
"Farming";"Cultivation system";"Acolchado"
"Farming";"Cultivation system";"Enarenado"
"Farming";"Cultivation system";"Bodega Sacos"
"Farming";"Cultivation system";"Bodega Bandejas"
"Farming";"Cultivation system";"Bodega Botellas"
"Farming";"Cultivation system";"Bodega Otros"
"Farming";"Cultivation system";"Nave Sacos"
"Farming";"Cultivation system";"Nave Bandejas"
"Farming";"Cultivation system";"Nave Botellas"
"Farming";"Cultivation system";"Nave Otros"
