"use_type_path";"attribute_name";"value_name";"external_id"
"Farming";"Cultivable";"Yes";"ter_attr_cultivable_farming_yes"
"Livestock";"Cultivable";"No";"ter_attr_cultivable_livestock_no"
"Industrial";"Cultivable";"No";"ter_attr_cultivable_industrial_no"
"Urban";"Cultivable";"No";"ter_attr_cultivable_urban_no"
"Recreational";"Cultivable";"No";"ter_attr_cultivable_recreational_no"
"Water reservoir";"Cultivable";"No";"ter_attr_cultivable_water_reservoir_no"
"Farming";"Crop destination";"Consumo humano en fresco";"ter_attr_crop_destination_farming_1"
"Farming";"Crop destination";"Consumo humano en seco";"ter_attr_crop_destination_farming_2"
"Farming";"Crop destination";"Consumo animal";"ter_attr_crop_destination_farming_3"
"Farming";"Crop destination";"Forrajero";"ter_attr_crop_destination_farming_4"
"Farming";"Crop destination";"Forraje deshidratado";"ter_attr_crop_destination_farming_5"
"Farming";"Crop destination";"Semillas para siembra";"ter_attr_crop_destination_farming_6"
"Farming";"Crop destination";"Semillas certificadas para siembra";"ter_attr_crop_destination_farming_7"
"Farming";"Crop destination";"Plantas, plantones o partes de planta para cultivo y/o reproducción";"ter_attr_crop_destination_farming_8"
"Farming";"Crop destination";"Ensilado";"ter_attr_crop_destination_farming_9"
"Farming";"Crop destination";"Semillas destinadas a la producción de brotes";"ter_attr_crop_destination_farming_10"
"Farming";"Crop destination";"Semillas germinadas excepto brotes (shoots o cress)";"ter_attr_crop_destination_farming_11"
"Farming";"Crop destination";"Leña";"ter_attr_crop_destination_farming_12"
"Farming";"Crop destination";"Corcho";"ter_attr_crop_destination_farming_13"
"Farming";"Crop destination";"Resina";"ter_attr_crop_destination_farming_14"
"Farming";"Crop destination";"Sidra";"ter_attr_crop_destination_farming_15"
"Farming";"Crop destination";"Pimentón";"ter_attr_crop_destination_farming_16"
"Farming";"Crop destination";"Fibra";"ter_attr_crop_destination_farming_17"
"Farming";"Crop destination";"Aceite";"ter_attr_crop_destination_farming_18"
"Farming";"Crop destination";"Medicinal";"ter_attr_crop_destination_farming_19"
"Farming";"Crop destination";"Industria cosmética";"ter_attr_crop_destination_farming_20"
"Farming";"Crop destination";"Energía renovable";"ter_attr_crop_destination_farming_21"
"Farming";"Crop destination";"Vinificación";"ter_attr_crop_destination_farming_22"
"Farming";"Crop destination";"Otro procesamiento industrial";"ter_attr_crop_destination_farming_23"
"Farming";"Crop destination";"Henificado";"ter_attr_crop_destination_farming_24"
"Farming";"Crop destination";"Uso experimental";"ter_attr_crop_destination_farming_25"
"Farming";"Crop destination";"Biomasa";"ter_attr_crop_destination_farming_26"
"Farming";"Crop destination";"Madera";"ter_attr_crop_destination_farming_27"
"Farming";"Crop destination";"Secado de la planta por comercialización";"ter_attr_crop_destination_farming_28"
"Farming";"Crop destination";"Combinado: Industrial u otros más secado";"ter_attr_crop_destination_farming_29"
"Farming";"Plant material provenance";"Banco de germoplasma/recursos fitogenéticos";"ter_attr_plant_material_provenance_farming_1"
"Farming";"Plant material provenance";"Material de la propia explotación";"ter_attr_plant_material_provenance_farming_2"
"Farming";"Plant material provenance";"Material de un obtentor no registrado en ROPVEG";"ter_attr_plant_material_provenance_farming_3"
"Farming";"Irrigation system";"Aspersión";"ter_attr_irrigation_system_farming_aspersion"
"Farming";"Irrigation system";"Goteo";"ter_attr_irrigation_system_farming_goteo"
"Farming";"Irrigation system";"Gravedad";"ter_attr_irrigation_system_farming_gravedad"
"Farming";"Irrigation system";"Pivot";"ter_attr_irrigation_system_farming_pivot"
"Farming";"Production method";"Convencional";"ter_attr_production_method_farming_convencional"
"Farming";"Production method";"Ecológica";"ter_attr_production_method_farming_ecologica"
"Farming";"Production method";"Integrada";"ter_attr_production_method_farming_integrada"
"Farming";"Cultivation system";"Aire libre";"ter_attr_cultivation_system_farming_1"
"Farming";"Cultivation system";"Malla";"ter_attr_cultivation_system_farming_2"
"Farming";"Cultivation system";"Cubierta no accesible";"ter_attr_cultivation_system_farming_3"
"Farming";"Cultivation system";"Invernadero (cubierta accesible)";"ter_attr_cultivation_system_farming_4"
"Farming";"Cultivation system";"Forestales en rotacion corta";"ter_attr_cultivation_system_farming_5"
"Farming";"Cultivation system";"Micorrizado";"ter_attr_cultivation_system_farming_6"
"Farming";"Cultivation system";"Acolchado";"ter_attr_cultivation_system_farming_7"
"Farming";"Cultivation system";"Enarenado";"ter_attr_cultivation_system_farming_8"
"Farming";"Cultivation system";"Bodega Sacos";"ter_attr_cultivation_system_farming_9"
"Farming";"Cultivation system";"Bodega Bandejas";"ter_attr_cultivation_system_farming_10"
"Farming";"Cultivation system";"Bodega Botellas";"ter_attr_cultivation_system_farming_11"
"Farming";"Cultivation system";"Bodega Otros";"ter_attr_cultivation_system_farming_12"
"Farming";"Cultivation system";"Nave Sacos";"ter_attr_cultivation_system_farming_13"
"Farming";"Cultivation system";"Nave Bandejas";"ter_attr_cultivation_system_farming_14"
"Farming";"Cultivation system";"Nave Botellas";"ter_attr_cultivation_system_farming_15"
"Farming";"Cultivation system";"Nave Otros";"ter_attr_cultivation_system_farming_16"
"Farming";"Cultivation system";"Hoyos";"ter_attr_cultivation_system_farming_17"
"Farming";"Cultivation system";"Zanjas";"ter_attr_cultivation_system_farming_18"
"Farming";"Cultivation system";"Invernadero (cubierta accesible)+ enarenado";"ter_attr_cultivation_system_farming_19"
"Farming";"Cultivation system";"Entutorado de madera";"ter_attr_cultivation_system_farming_20"
"Farming";"Cultivation system";"Entutorado de hormigón";"ter_attr_cultivation_system_farming_21"
"Farming";"Cultivation system";"Entutorado metálico";"ter_attr_cultivation_system_farming_22"
"Farming";"Cultivation system";"Malla de protección antigranizo";"ter_attr_cultivation_system_farming_23"
"Farming";"Cultivation system";"Malla de protección antilluvia";"ter_attr_cultivation_system_farming_24"
"Farming";"Cultivation system";"Malla de sombreado";"ter_attr_cultivation_system_farming_25"
"Farming";"Cultivation system";"Tunel de plástico";"ter_attr_cultivation_system_farming_26"
"Farming";"Cultivation system";"Multi tunel de plástico film";"ter_attr_cultivation_system_farming_27"
"Farming";"Cultivation system";"Multi tunel de plástico rígido";"ter_attr_cultivation_system_farming_28"
"Farming";"Cultivation system";"Sustrato de perlita";"ter_attr_cultivation_system_farming_29"
